ticker,CASH,IEI,VCIT,HYG,NVDA,MSFT,GOOGL,AMZN,JPM,NVO
CASH,,,,,,,,,,
IEI,,1.0,0.954,0.807,0.244,0.11,0.244,0.21,0.152,0.241
VCIT,,0.954,1.0,0.86,0.282,0.14,0.283,0.244,0.206,0.222
HYG,,0.807,0.86,1.0,0.429,0.248,0.406,0.377,0.266,0.17
NVDA,,0.244,0.282,0.429,1.0,0.129,0.208,0.151,0.006,-0.16
MSFT,,0.11,0.14,0.248,0.129,1.0,0.235,0.463,0.011,0.038
GOOGL,,0.244,0.283,0.406,0.208,0.235,1.0,0.694,0.104,-0.09
AMZN,,0.21,0.244,0.377,0.151,0.463,0.694,1.0,0.036,-0.167
JPM,,0.152,0.206,0.266,0.006,0.011,0.104,0.036,1.0,0.118
NVO,,0.241,0.222,0.17,-0.16,0.038,-0.09,-0.167,0.118,1.0
